ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q637012,Keith Holyoake,1954-11-13,1957-09-20,,Q284733
2,Q284733,Jack Marshall,1957-09-20,1957-12-12,Q637012,Q5126745
3,Q5126745,Jerry Skinner,1957-12-12,1960-12-12,Q284733,Q284733
,Q284733,Jack Marshall,1960-12-12,1972-02-09,Q5126745,Q737739
4,Q737739,Robert Muldoon,1972-02-09,1972-12-08,Q284733,Q4476255
5,Q4476255,Hugh Watt,1972-12-08,1974-09-01,Q737739,Q4934206
6,Q4934206,Bob Tizard,1974-09-10,1975-12-12,Q4476255,Q461383
7,Q461383,Brian Talboys,1975-12-12,1981-03-04,Q4934206,Q5314460
8,Q5314460,Duncan MacIntyre (New Zealand politician),1981-03-04,1984-03-15,Q461383,Q6135999
9,Q6135999,Jim McLay,1984-03-15,1984-07-26,Q5314460,Q1385100
10,Q1385100,Geoffrey Palmer (politician),1984-07-26,1989-08-08,Q6135999,Q180383
11,Q180383,Helen Clark,1989-08-08,1990-11-02,Q1385100,Q599938
12,Q599938,Don McKinnon,1990-11-02,1996-12-16,Q180383,Q1396178
13,Q1396178,Winston Peters,1996-12-16,1998-08-14,Q599938,Q8039486
14,Q8039486,Wyatt Creech,1998-08-14,1999-12-10,Q1396178,Q1036723
15,Q1036723,Jim Anderton,1999-12-10,2002-08-15,Q8039486,Q2622925
16,Q2622925,Michael Cullen (politician),2002-08-15,2008-11-19,Q1036723,Q4384608
17,Q4384608,Bill English,2008-11-19,2016-12-12,Q2622925,Q6416051
18,Q6416051,Paula Bennett,2016-12-12,2017-10-26,Q4384608,Q1396178
,Q1396178,Winston Peters,2017-10-26,,Q6416051,
